movieId,title,genres,avg_rating,popularity,release_year,clean_title,director,cast,overview,tag
1,Toy Story (1995),"Adventure,Animation,Children,Comedy,Fantasy",3.9209302325581397,215.0,1995.0,Toy Story,Unknown,Unknown,,pixar pixar fun
2,Jumanji (1995),"Adventure,Children,Fantasy",3.4318181818181817,110.0,1995.0,Jumanji,Unknown,Unknown,,fantasy magic board game Robin Williams game
3,Grumpier Old Men (1995),"Comedy,Romance",3.2596153846153846,52.0,1995.0,Grumpier Old Men,Unknown,Unknown,,moldy old
4,Waiting to Exhale (1995),"Comedy,Drama,Romance",2.357142857142857,7.0,1995.0,Waiting to Exhale,Unknown,Unknown,,
5,Father of the Bride Part II (1995),Comedy,3.0714285714285716,49.0,1995.0,Father of the Bride Part II,Unknown,Unknown,,pregnancy remake
6,Heat (1995),"Action,Crime,Thriller",3.946078431372549,102.0,1995.0,Heat,Unknown,Unknown,,
7,Sabrina (1995),"Comedy,Romance",3.185185185185185,54.0,1995.0,Sabrina,Unknown,Unknown,,remake
8,Tom and Huck (1995),"Adventure,Children",2.875,8.0,1995.0,Tom and Huck,Unknown,Unknown,,
9,Sudden Death (1995),Action,3.125,16.0,1995.0,Sudden Death,Unknown,Unknown,,
10,GoldenEye (1995),"Action,Adventure,Thriller",3.496212121212121,132.0,1995.0,GoldenEye,Unknown,Unknown,,
11,"American President, The (1995)","Comedy,Drama,Romance",3.6714285714285713,70.0,1995.0,"American President, The",Unknown,Unknown,,politics president
12,Dracula: Dead and Loving It (1995),"Comedy,Horror",2.4210526315789473,19.0,1995.0,Dracula: Dead and Loving It,Unknown,Unknown,,
13,Balto (1995),"Adventure,Animation,Children",3.125,8.0,1995.0,Balto,Unknown,Unknown,,
14,Nixon (1995),Drama,3.8333333333333335,18.0,1995.0,Nixon,Unknown,Unknown,,politics president
15,Cutthroat Island (1995),"Action,Adventure,Romance",3.0,13.0,1995.0,Cutthroat Island,Unknown,Unknown,,
16,Casino (1995),"Crime,Drama",3.926829268292683,82.0,1995.0,Casino,Unknown,Unknown,,Mafia
17,Sense and Sensibility (1995),"Drama,Romance",3.7761194029850746,67.0,1995.0,Sense and Sensibility,Unknown,Unknown,,Jane Austen
18,Four Rooms (1995),Comedy,3.7,20.0,1995.0,Four Rooms,Unknown,Unknown,,
19,Ace Ventura: When Nature Calls (1995),Comedy,2.727272727272727,88.0,1995.0,Ace Ventura: When Nature Calls,Unknown,Unknown,,
20,Money Train (1995),"Action,Comedy,Crime,Drama,Thriller",2.5,15.0,1995.0,Money Train,Unknown,Unknown,,
21,Get Shorty (1995),"Comedy,Crime,Thriller",3.49438202247191,89.0,1995.0,Get Shorty,Unknown,Unknown,,Hollywood
22,Copycat (1995),"Crime,Drama,Horror,Mystery,Thriller",3.2222222222222223,36.0,1995.0,Copycat,Unknown,Unknown,,serial killer
23,Assassins (1995),"Action,Crime,Thriller",3.125,16.0,1995.0,Assassins,Unknown,Unknown,,
24,Powder (1995),"Drama,Sci-Fi",3.125,28.0,1995.0,Powder,Unknown,Unknown,,
25,Leaving Las Vegas (1995),"Drama,Romance",3.625,76.0,1995.0,Leaving Las Vegas,Unknown,Unknown,,alcoholism
26,Othello (1995),Drama,3.5,13.0,1995.0,Othello,Unknown,Unknown,,Shakespeare
27,Now and Then (1995),"Children,Drama",3.3333333333333335,9.0,1995.0,Now and Then,Unknown,Unknown,,
28,Persuasion (1995),"Drama,Romance",4.2272727272727275,11.0,1995.0,Persuasion,Unknown,Unknown,,In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Adventure,Drama,Fantasy,Mystery,Sci-Fi",4.0131578947368425,38.0,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)",Unknown,Unknown,,kidnapping
